equipments = {
	light_ship_hull = {
		year = 1960

		is_archetype = yes
		is_buildable = no
		type = screen_ship
		interface_category = interface_category_screen_ships
		group_by = archetype
		priority = 2000

		upgrades = {
		}
		module_slots = {
		}
		default_modules = {
		}
		
		surface_detection = 20
		surface_visibility = 10
		naval_speed = 25
		reliability = 0.80
		naval_range = 1500
		max_strength = 25

		fuel_consumption = 0
		build_cost_ic = 400
		resources = {
			steel = 2
		}
		manpower = 250
	}
	destroyer_ship_hull = {
		year = 1960

		is_archetype = yes
		is_buildable = no
		type = screen_ship
		interface_category = interface_category_screen_ships
		group_by = archetype
		priority = 1800

		upgrades = {
		}
		module_slots = {
		}
		default_modules = {
		}
		
		surface_detection = 20
		surface_visibility = 10
		naval_speed = 25
		reliability = 0.80
		naval_range = 1500
		max_strength = 25

		fuel_consumption = 0
		build_cost_ic = 400
		resources = {
			steel = 2
		}
		manpower = 250
	}
	cruiser_ship_hull = {
		year = 1960

		is_archetype = yes
		is_buildable = no
		type = screen_ship
		interface_category = interface_category_screen_ships
		group_by = archetype
		priority = 1600

		upgrades = {
		}
		module_slots = {
		}
		default_modules = {
		}
		
		surface_detection = 20
		surface_visibility = 10
		naval_speed = 25
		reliability = 0.80
		naval_range = 1500
		max_strength = 25

		fuel_consumption = 0
		build_cost_ic = 400
		resources = {
			steel = 2
		}
		manpower = 250
	}
	light_cv_ship_hull = {
		year = 1960

		is_archetype = yes
		is_buildable = no
		type = carrier
		interface_category = interface_category_capital_ships
		group_by = archetype
		priority = 1400

		upgrades = {
		}
		module_slots = {
		}
		default_modules = {
		}
		
		surface_detection = 20
		surface_visibility = 10
		naval_speed = 25
		reliability = 0.80
		naval_range = 1500
		max_strength = 25

		fuel_consumption = 0
		build_cost_ic = 400
		resources = {
			steel = 2
		}
		manpower = 250
	}
	heavy_cv_ship_hull = {
		year = 1960

		is_archetype = yes
		is_buildable = no
		type = carrier
		interface_category = interface_category_capital_ships
		group_by = archetype
		priority = 1200

		upgrades = {
		}
		module_slots = {
		}
		default_modules = {
		}
		
		surface_detection = 20
		surface_visibility = 10
		naval_speed = 25
		reliability = 0.80
		naval_range = 1500
		max_strength = 25

		fuel_consumption = 0
		build_cost_ic = 400
		resources = {
			steel = 2
		}
		manpower = 250
	}
	light_submarine_hull = {
		year = 1960

		is_archetype = yes
		is_buildable = no
		type = submarine
		interface_category = interface_category_other_ships
		group_by = archetype
		priority = 2400

		upgrades = {
		}
		module_slots = {
		}
		default_modules = {
		}
		
		surface_detection = 20
		surface_visibility = 10
		naval_speed = 25
		reliability = 0.80
		naval_range = 1500
		max_strength = 25

		fuel_consumption = 0
		build_cost_ic = 400
		resources = {
			steel = 2
		}
		manpower = 250
	}
	heavy_submarine_hull = {
		year = 1960

		is_archetype = yes
		is_buildable = no
		type = submarine
		interface_category = interface_category_other_ships
		group_by = archetype
		priority = 2200

		upgrades = {
		}
		module_slots = {
		}
		default_modules = {
		}
		
		surface_detection = 20
		surface_visibility = 10
		naval_speed = 25
		reliability = 0.80
		naval_range = 1500
		max_strength = 25

		fuel_consumption = 0
		build_cost_ic = 400
		resources = {
			steel = 2
		}
		manpower = 250
	}
	light_ship_hull_0 = {
		year = 1960

		archetype = light_ship_hull
		priority = 2000

		module_slots = inherit
	}
	light_ship_hull_1 = {
		year = 1970

		archetype = light_ship_hull
		priority = 2000
		parent = light_ship_hull_0

		module_slots = inherit
	}
	light_ship_hull_2 = {
		year = 1980

		archetype = light_ship_hull
		priority = 2000
		parent = light_ship_hull_1

		module_slots = inherit
	}
	light_ship_hull_3 = {
		year = 1990

		archetype = light_ship_hull
		priority = 2000
		parent = light_ship_hull_2

		module_slots = inherit
	}
	light_ship_hull_4 = {
		year = 2000

		archetype = light_ship_hull
		priority = 2000
		parent = light_ship_hull_3

		module_slots = inherit
	}
	light_ship_hull_5 = {
		year = 2010

		archetype = light_ship_hull
		priority = 2000
		parent = light_ship_hull_4

		module_slots = inherit
	}
	light_ship_hull_6 = {
		year = 2020

		archetype = light_ship_hull
		priority = 2000
		parent = light_ship_hull_5

		module_slots = inherit
	}
	light_ship_hull_7 = {
		year = 2030

		archetype = light_ship_hull
		priority = 2000
		parent = light_ship_hull_6

		module_slots = inherit
	}
	light_ship_hull_8 = {
		year = 2040

		archetype = light_ship_hull
		priority = 2000
		parent = light_ship_hull_7

		module_slots = inherit
	}
	destroyer_ship_hull_0 = {
		year = 1960

		archetype = destroyer_ship_hull
		priority = 1800

		module_slots = inherit
	}
	destroyer_ship_hull_1 = {
		year = 1970

		archetype = destroyer_ship_hull
		priority = 1800
		parent = destroyer_ship_hull_0

		module_slots = inherit
	}
	destroyer_ship_hull_2 = {
		year = 1980

		archetype = destroyer_ship_hull
		priority = 1800
		parent = destroyer_ship_hull_1

		module_slots = inherit
	}
	destroyer_ship_hull_3 = {
		year = 1990

		archetype = destroyer_ship_hull
		priority = 1800
		parent = destroyer_ship_hull_2

		module_slots = inherit
	}
	destroyer_ship_hull_4 = {
		year = 2000

		archetype = destroyer_ship_hull
		priority = 1800
		parent = destroyer_ship_hull_3

		module_slots = inherit
	}
